Data 1;Data 2;Data 3;Data 4
48;51;55;45
54;17;34;28
44;54;59;37
17;48;54;21
53;50;20;35
60;20;41;56
58;17;18;29
36;28;53;49
52;17;52;59
38;18;19;37
47;50;42;58
38;47;19;29
59;46;30;33
29;16;24;41
18;52;20;26
54;48;24;31
26;43;33;18
20;60;38;40
29;15;45;23
43;47;44;42
22;30;35;56
15;22;25;40
22;35;41;39
47;46;41;36
19;35;18;25
59;22;27;55
31;56;19;57
18;45;18;40
26;60;49;54
28;51;20;47
50;43;42;20
17;21;24;22
25;43;25;37
27;24;36;34
23;34;43;20
29;18;48;42
52;19;29;60
24;45;56;18
24;43;19;21
41;39;15;30
34;52;22;56
46;60;54;58
43;26;23;56
25;19;35;33
21;33;47;27
60;17;41;39
35;18;46;22
19;16;26;49
40;16;43;58
51;52;40;38
20;58;43;22
60;17;58;46
60;60;51;26
36;44;34;23
46;15;46;40
32;23;19;22
34;47;20;25
16;38;47;19
34;29;55;28
39;52;42;55
30;25;16;53
50;38;47;23
30;36;25;50
53;42;30;29
38;54;35;40
17;24;18;32
23;30;41;39
52;52;26;31
58;31;49;57
18;58;24;30
23;56;33;28
33;28;20;25
35;32;31;39
26;30;57;47
46;56;44;19
52;60;19;52
51;47;59;25
29;16;34;33
40;46;43;17
51;23;58;20
25;25;18;37
35;17;44;37
30;46;21;59
54;44;18;44
23;26;48;38
41;55;35;26
53;29;60;19
29;56;26;40
29;33;41;51
42;45;54;58
31;55;45;60
39;18;37;21
45;22;26;37
56;59;22;59
37;50;58;44
46;26;26;29
16;43;57;49
38;42;57;56
29;26;38;34
21;51;32;20
28;56;33;36
26;41;36;42
51;49;57;22
42;57;50;41
55;39;58;42
31;29;30;15
37;36;27;25
49;25;44;50
56;52;21;33
19;55;50;58
56;15;19;23
22;15;33;49
59;45;31;36
48;21;35;44
47;42;52;26
27;50;19;30
42;20;50;27
46;29;26;57
26;41;52;40
40;28;40;34
35;50;35;37
23;53;37;50
22;38;29;43
36;24;40;42
16;38;46;40
57;21;42;59
29;28;35;47
31;15;28;19
50;19;16;19
26;55;59;27
46;47;18;19
20;45;21;59
55;40;47;36
26;24;21;19
38;48;35;46
46;20;42;35
39;58;44;49
53;20;25;23
21;32;55;20
59;29;59;25
27;60;20;25
56;59;19;36
36;15;15;16
51;20;60;49
35;33;20;50
35;32;36;40
45;22;33;34
43;60;31;33
50;17;52;33
55;35;38;44
29;27;57;59
59;55;52;18
15;31;54;28
15;27;49;38
40;26;31;18
48;41;59;22
30;56;35;60
35;22;28;44
41;25;36;25
30;28;15;27
19;23;15;48
38;56;47;16
53;21;47;38
48;17;50;32
32;24;25;41
28;23;59;45
52;18;31;49
19;56;19;20
43;40;29;20
24;25;59;49
17;29;55;49
50;25;22;46
38;55;30;54
38;43;41;57
56;22;25;27
47;40;28;58
35;48;41;51
22;22;42;31
38;48;47;40
48;16;25;32
46;48;33;36
22;37;54;53
26;17;55;16
45;50;15;49
33;19;49;52
16;16;33;56
54;52;25;58
43;33;20;33
44;28;16;31
25;26;25;23
46;34;45;23
22;29;19;22
57;33;60;41
34;45;43;40
28;55;44;38
23;40;18;22
39;40;19;34
41;27;24;46
24;38;22;21
59;29;26;29
27;49;46;57
45;17;42;53
28;27;21;17
22;41;30;22
25;46;59;22
43;39;22;34
34;21;56;45
21;36;57;18
31;60;53;19
34;26;56;20
42;35;37;39
19;29;37;54
47;58;50;45
33;58;51;42
42;54;15;50
58;54;44;58
46;20;56;23
24;32;49;40
44;15;44;43
15;54;32;27
46;40;19;35
36;56;18;51
29;36;23;20
55;21;60;47
27;39;47;39
47;34;18;50
26;40;50;17
47;36;15;47
16;50;49;42
29;22;47;31
16;50;32;23
27;31;48;35
20;40;46;49
44;37;15;45
31;52;40;21
32;16;58;49
48;37;38;38
45;50;31;40
41;16;41;36
54;25;24;44
25;46;23;30
50;43;48;49
36;52;59;59
31;59;23;15
42;60;15;25
35;55;22;27
20;53;21;22
18;18;17;52
18;29;32;56
15;32;27;22
54;27;34;51
35;16;43;43
20;46;36;36
24;42;59;21
17;38;43;45
41;36;16;25
30;24;20;56
56;21;37;29
30;38;49;30
17;53;52;39
52;45;39;29
33;16;20;58
22;40;29;48
59;58;48;30
31;50;51;31
24;31;15;59
17;38;32;35
29;58;34;55
58;51;23;23
59;60;23;56
31;38;39;19
21;27;37;28
24;23;16;20
52;15;29;25
49;33;48;41
40;24;19;38
22;45;51;47
28;44;23;34
60;18;43;39
38;59;47;55
32;37;57;17
15;19;26;40
29;49;36;28
56;55;32;25
53;27;33;28
60;41;27;33
49;37;30;41
15;58;38;31
21;23;29;52
31;21;25;15
42;53;15;47
47;40;19;55
33;57;35;41
53;26;28;60
54;50;29;58
32;30;34;18
32;40;53;36
30;50;39;52
